Date,Actual,Predicted
2023-05-23,19.520000457763672,19.135866
2023-05-24,19.25,18.959879
2023-05-25,18.96999931335449,19.004396
2023-05-26,18.68000030517578,19.057697
2023-05-30,19.31999969482422,19.025578
2023-05-31,18.57999992370605,19.163591
2023-06-01,18.81999969482422,18.935324
2023-06-02,18.049999237060547,19.241291
2023-06-05,18.40999984741211,18.660036
2023-06-06,18.940000534057617,18.139942
2023-06-07,18.479999542236328,19.088936
2023-06-08,19.36000061035156,19.025665
2023-06-09,20.1299991607666,19.107574
2023-06-12,22.89999961853028,19.562809
2023-06-13,23.21999931335449,21.300838
2023-06-14,24.809999465942383,22.130993
2023-06-15,23.64999961853028,23.073912
2023-06-16,22.5,23.633722
2023-06-20,22.75,21.500595
2023-06-21,23.07999992370605,21.30584
2023-06-22,22.600000381469727,21.296864
2023-06-23,22.350000381469727,21.280188
2023-06-26,24.0,20.252787
2023-06-27,25.1200008392334,21.283123
2023-06-28,24.56999969482422,23.143429
2023-06-29,24.3799991607666,23.311369
2023-06-30,24.40999984741211,23.477533
2023-07-03,24.459999084472656,23.356197
2023-07-05,24.309999465942383,23.256298
2023-07-06,24.26000022888184,23.21781
2023-07-07,23.18000030517578,23.182531
2023-07-10,22.75,22.439669
2023-07-11,22.920000076293945,21.211266
2023-07-12,22.950000762939453,21.906963
2023-07-13,22.920000076293945,21.906963
2023-07-14,23.64999961853028,21.644659
2023-07-17,23.63999938964844,21.735863
2023-07-18,22.06999969482422,21.952559
2023-07-19,21.950000762939453,21.995031
2023-07-20,21.6200008392334,21.301147
2023-07-21,22.26000022888184,21.413261
2023-07-24,22.309999465942383,21.09452
2023-07-25,22.270000457763672,20.983955
2023-07-26,22.01000022888184,21.126635
2023-07-27,22.520000457763672,21.013998
2023-07-28,22.15999984741211,20.980043
2023-07-31,20.26000022888184,21.021969
2023-08-01,20.459999084472656,21.044569
2023-08-02,20.1200008392334,19.472399
2023-08-03,20.479999542236328,19.084557
2023-08-04,23.440000534057617,19.00804
2023-08-07,23.43000030517578,20.722273
2023-08-08,22.950000762939453,22.028067
2023-08-09,22.84000015258789,21.846334
2023-08-10,22.89999961853028,22.079596
2023-08-11,24.18000030517578,21.987299
2023-08-14,23.6299991607666,23.370743
2023-08-15,23.1299991607666,23.335672
2023-08-16,23.059999465942383,23.148438
2023-08-17,22.270000457763672,23.072483
2023-08-18,21.82999992370605,23.169312
2023-08-21,21.799999237060547,22.246927
2023-08-22,23.3799991607666,22.257055
2023-08-23,23.059999465942383,22.208794
2023-08-24,23.3700008392334,23.067472
2023-08-25,23.5,23.10501
2023-08-28,23.07999992370605,23.218456
2023-08-29,23.14999961853028,23.123533
2023-08-30,22.809999465942383,23.11154
2023-08-31,23.65999984741211,23.071415
2023-09-01,19.350000381469727,23.167856
2023-09-05,19.770000457763672,22.59031
2023-09-06,19.739999771118164,19.116543
2023-09-07,20.01000022888184,18.726807
2023-09-08,19.82999992370605,19.15747
2023-09-11,19.739999771118164,19.167507
2023-09-12,19.479999542236328,19.052914
2023-09-13,19.770000457763672,19.75086
2023-09-14,19.09000015258789,19.304218
2023-09-15,19.459999084472656,19.418613
2023-09-18,18.940000534057617,19.171953
2023-09-19,18.850000381469727,19.32338
2023-09-20,18.270000457763672,18.828772
2023-09-21,18.57999992370605,18.512312
2023-09-22,19.36000061035156,18.274227
2023-09-25,19.40999984741211,18.725447
2023-09-26,20.25,19.150284
2023-09-27,19.959999084472656,20.02529
2023-09-28,19.790000915527344,20.57828
2023-09-29,19.40999984741211,19.919334
2023-10-02,19.32999992370605,19.414644
